,293,mitoparp,293 + low NAD,mitoparp + low NAD,subsystem
ACOAHi,0.0,0.0,0.0,0.01,Acetate production
ALCD2if,0.0,0.0,0.0,0.0,Alcohol metabolism
ALCD2yf,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2x,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2xm,0.0,0.0,0.0,0.0,Alcohol metabolism
ACALDtm,0.0,0.0,0.0,0.0,Alcohol metabolism
ACSm,0.0,0.0,0.0,0.0,Alcohol metabolism
PTRCAT1m_MitoCore,0.0,0.0,0.0,0.0,Arginine degradation
AGMTm,0.0,0.0,0.0,0.0,Arginine degradation
ARGDCm,0.0,0.0,0.0,0.0,Arginine degradation
4aabutn_MitoCore,0.0,0.0,0.0,0.0,Arginine degradation
NABTNOm,0.0,0.0,0.0,0.0,Arginine degradation
APRTO2m_MitoCore,0.0,0.0,0.0,0.0,Arginine degradation
r0127,0.01,0.01,0.01,0.01,Asparagine degradation
ASNS1,0.0,0.0,0.0,0.0,Asparagine synthesis
APAT2rm,0.0,,0.0,,Beta-alanine degradation
MMSAD3m,0.0,,0.0,,Beta-alanine degradation
MMSAD3m2_MitoCore,0.0,,0.0,,Beta-alanine degradation
ASP1DC,0.0,0.0,0.0,0.0,Beta-alanine synthesis
MERCPLACt_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ACt2r,0.0,0.0,0.0,-0.01,Boundary Conditions - Biomarkers
AKGt_MitoCore,0.0,0.0,0.0,-0.84249127735713,Boundary Conditions - Biomarkers
SUMt_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
UREAt,-0.007,-0.007,-0.007,-0.007,Boundary Conditions - Biomarkers
ICITt_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
MAL_Lte,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
r0817,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ARGSUCt_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
OAAt_MitoCore,0.0,0.0,-0.8279635970383596,0.0,Boundary Conditions - Biomarkers
r1088,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
FUMt_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
r1512,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
NH4t3r,0.3620000000000409,0.362,0.265681739537054,0.3214783003511726,Boundary Conditions - Biomarkers
2HBt2,-0.012,0.0,0.0,0.0,Boundary Conditions - Biomarkers
CHOLtu,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
PPAt,-0.015000000000001,0.0,-0.013765121141311,0.0,Boundary Conditions - Biomarkers
PEt,0.0,0.0,0.0,0.0,Boundary Conditions - Lipids
PCHOLHSTDe,0.0,0.0,0.0,0.0,Boundary Conditions - Lipids
PSt3,0.0,0.0,0.0,0.0,Boundary Conditions - Lipids
NADHt_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NADHtm_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NOt,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
NADtm_MitoCore,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
SO3t_MitoCore,0.001,0.001,0.0,0.001,Boundary Conditions - Misc
TSULt_MitoCore,-0.001,-0.001,0.0,-0.001,Boundary Conditions - Misc
Hmt_MitoCore,-1.9322938365982925,-1.8303109064847944,-2.6064634122572112,-1.7207767518266872,Boundary Conditions - Misc
Hct_MitoCore,2.561304347826156,2.496673913043516,2.988103974913064,1.2929651097965449,Boundary Conditions - Misc
H2Ot,-14.971260869565176,-15.026434782608725,-12.400879021980368,-10.74800343481963,Boundary Conditions - Misc
r0899,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
r0940,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
COt,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
CYANt,0.0,0.0,0.001,0.0,Boundary Conditions - Misc
